checkpoint,seq_len,global_step,lambada_top1,coref_f1,coref_top5,score
checkpoint-1188,1536,1188,0.3533,0.0379,0.6442,0.3144
checkpoint-1230,2048,1230,0.3500,0.0330,0.6841,0.3234
checkpoint-1584,1536,1584,0.3650,0.0390,0.6608,0.3234
checkpoint-1640,2048,1640,0.3600,0.0328,0.6809,0.3254
checkpoint-1980,1536,1980,0.3700,0.0386,0.6533,0.3224
checkpoint-2050,2048,2050,0.3683,0.0329,0.6791,0.3274
checkpoint-396,1536,396,0.3583,0.0410,0.6837,0.3290
checkpoint-410,2048,410,0.3467,0.0338,0.6969,0.3266
checkpoint-792,1536,792,0.3633,0.0392,0.6617,0.3232
checkpoint-820,2048,820,0.3617,0.0327,0.6803,0.3257
